"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Month","Year","Acceptable PM2.5 AQI & Speciation Mass","Ozone","PM2.5","PM2.5 - Local Conditions"
2018-01-13,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,32,15,NA
2018-01-13,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,10,NA
2018-01-13,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,0,NA
2018-01-13,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,12,NA
2018-01-13,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,32,24,NA
2018-01-13,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,3,NA
2018-01-13,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,8,NA
2018-01-14,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,28,NA
2018-01-14,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,10,NA
2018-01-14,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,25,NA
2018-01-14,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,20,NA
2018-01-14,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,NA,6,NA
2018-01-14,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,31,26.5,NA
2018-01-14,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,20.3333333333333,NA
2018-01-14,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,10,NA
2018-01-14,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,NA,10,NA
2018-01-14,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,22,NA
2018-01-14,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,NA,19.5,NA
2018-01-14,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,15.5,NA
2018-01-14,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,15,NA
2018-01-15,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,43,NA
